"ano","regiao","uf","municipio","afd1","afd2","afd3","afd4","afd5","media_aluno_turma","MIRD","aprovacao","reprovacao","abandono","superior","salario_medio","salario_medio_pad","gestao.1","gestao.2","gestao.3","gestao.4","gestao.5","gestao.6","X5LP","X5LP_SAEB","X5MT","X5MT_SAEB","X9LP","X9LP_SAEB","X9MT","X9MT_SAEB","gasto_fund"
2013,"Nordeste","BA",2916302,15.6307692307692,0,3.31538461538462,10.6461538461538,70.4076923076923,18.4,3.151714306875,71.4461538461538,17.6846153846154,10.8692307692308,28.3307692307692,1867.90666666667,3539.75033333333,45.8,23.1333333333333,5.8,12.6333333333333,12.6,0.0333333333333333,-1.66338291724138,158.343579586207,-1.37568957931034,173.073843862069,-0.269778486842105,235.121936842105,-0.359274065789474,229.883675,NA
2013,"Nordeste","BA",2916401,55.64,0.674285714285714,12.0885714285714,2.68285714285714,28.9142857142857,22.8628571428571,3.21686722195122,86.7714285714286,11.0285714285714,2.2,70.8371428571429,2435.092,2213.72,30.4,29.9,13.1666666666667,11.4666666666667,15.0666666666667,0,-1.23782025,181.789262337209,-0.952227224418605,196.742135267442,-0.256469150976909,235.855193428064,-0.264484806394316,235.181657371226,34212304.52
2013,"Nordeste","BA",2916500,5.45652173913043,0,7.43768115942029,0.120289855072464,86.9855072463768,21.0347826086957,3.43069710536232,79.636231884058,16.8449275362319,3.51884057971014,13.5710144927536,2498.376,4968.045,48.4666666666667,26.2333333333333,11.7,2.9,8.8,1.9,-1.48136867474048,168.371360519031,-1.13789258477509,186.364867923875,-0.390098820809249,228.493084393064,-0.322071416184971,231.963006358382,45130709.12
2013,"Nordeste","BA",2916609,1.36842105263158,0.221052631578947,0.405263157894737,0.221052631578947,97.7842105263158,13.3,2.63258844727273,75.3235294117647,15.9294117647059,8.74705882352941,2.53684210526316,1821.82433333333,1821.82433333333,34.8666666666667,23.6,3.76666666666667,25.4666666666667,12.2666666666667,0.0333333333333333,-0.814497359375,205.111546875,-0.24422478125,236.3140375,-0.113735482758621,243.718867241379,0.0929269655172414,255.158237931034,11759279.14
2013,"Nordeste","BA",2916708,16.08,0,8.88,0.67,74.37,17.1,3.13495054230769,90.3,8.09,1.61,25.74,1513.998,1376.362,68.0666666666667,6.73333333333333,15.9666666666667,0,9.23333333333333,0,-1.88670295283019,146.040136509434,-1.64324932075472,158.119299622642,-0.578933076086957,218.089570652174,-0.417470652173913,226.630931521739,9547609.9
2013,"Nordeste","BA",2916807,28.1125,0.1125,4.84583333333333,0.791666666666667,66.1375,13.8,3.32720340346154,79.1541666666667,10.5541666666667,10.2916666666667,33.7541666666667,1949.204,1772.00366666667,67.5,20.3,8.13333333333333,4.03333333333333,0,0.0333333333333333,-1.23724112863071,181.821163817427,-0.859017800829876,201.951826556017,-0.82973765625,204.271905625,-0.74831381875,208.139330625,19233789.4
2013,"Nordeste","BA",2916856,6.37,0,6.45,0.115,87.065,18.145,2.37350219916667,89.045,9.24,1.715,13.275,1711.56733333333,1566.23166666667,30.4666666666667,12.1333333333333,25.3333333333333,19.1333333333333,8.63333333333333,4.3,-1.1007033315508,189.34349144385,-0.563128385026738,218.48977486631,-0.124633552631579,243.118457894737,-0.047713952631579,248.003488421053,26246635.48
2013,"Nordeste","BA",2916906,6.24545454545455,0,8.50909090909091,2.57272727272727,82.6727272727273,22.5181818181818,2.83616644416667,88.7727272727273,7.13636363636364,4.09090909090909,17.7272727272727,1610.37733333333,1463.979,45.2333333333333,35.9666666666667,18.7666666666667,0,0,0.0333333333333333,-1.74214654098361,154.004233360656,-1.57926319672131,161.69563557377,-0.684617826086957,212.267039130435,-0.684439641304348,211.709406521739,14932442.62
2013,"Nordeste","BA",2917003,15.5196428571429,0.133928571428571,8.56607142857143,0.732142857142857,75.0482142857143,17.7910714285714,3.28956501646154,83.3089285714286,14.1607142857143,2.53035714285714,25.7892857142857,2273.926,2067.20533333333,40.2333333333333,30.9666666666667,13.5666666666667,1.1,10.9333333333333,3.2,-1.86958189494949,146.98338830303,-1.66258757373737,157.038443232323,-0.777551768361582,207.146998022599,-0.698291649717514,210.935186723164,53854663.28
2013,"Nordeste","BA",2917102,17.132,0,12.232,0.276,70.36,17.908,2.51087323428571,79.376,14.44,6.184,30.156,1891.48466666667,2166.217,45.9,16.1,5.8,14.7666666666667,17.4333333333333,0,-1.4001989625,172.84327,-1.12655796875,186.9983835,-0.917718958525346,199.424718894009,-0.787038815668203,205.974898156682,23679881.42
2013,"Nordeste","BA",2917201,30.4142857142857,0,12.3485714285714,1.23142857142857,56.0057142857143,14.6257142857143,3.05998004857143,87.14,10.24,2.62,43.7971428571429,1742.15133333333,1583.774,27.1,23.6333333333333,1.93333333333333,19.7666666666667,19.7666666666667,7.8,-1.28003737433155,179.463377914438,-0.980371556149733,195.16908631016,-0.3222756,232.229691272727,-0.159197312727273,241.066421818182,27789434.9
2013,"Nordeste","BA",2917300,21.1155555555556,0.74,28.0622222222222,1.49555555555556,48.5866666666667,21.9377777777778,2.65330747895833,78.9355555555556,17.9288888888889,3.13555555555556,50.7555555555556,2247.06533333333,2263.49966666667,29.5,26.4,7.36666666666667,13.5,23.2333333333333,0,-1.39009486187845,173.399939116022,-1.09970771823204,188.499109696133,-0.40327225,227.767316666667,-0.492911833333333,222.414341666667,41810144
