"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_abandono"
"2015","Norte","RO","1101500",0.948462063687961,0.97861814401958,0.953187268127194,0.97751579434552,0.674370179142938
"2013","Norte","RO","1101559",0.749280041507985,0.967089834715381,0.863320756799306,0.971420743772262,0.199042186718736
"2015","Norte","RO","1101559",0.852369061030088,0.944038150504013,0.919578036035364,0.969404152140693,0.272228377000882
"2013","Norte","RO","1101609",0.695899771823692,0.960787552483194,0.805195751303147,0.970743852982163,0.387487053700381
"2015","Norte","RO","1101609",0.942498912317618,0.977492262657302,0.957368410706489,0.978305615980902,0.488409862772646
"2013","Norte","RO","1101708",0.738285655190536,0.972356117334521,0.869153390921526,0.979474919917833,0.282242029986795
"2015","Norte","RO","1101708",0.953751815117945,0.979749111806014,0.967516535002992,0.980975213096049,0.490010383046999
"2013","Norte","RO","1101757",0.731518661094321,0.96828258115165,0.823391135407606,0.973816256297069,0.324602010285173
"2015","Norte","RO","1101757",0.942828267894558,0.977933848350724,0.941934466313346,0.975886552385039,0.236901669546921
"2013","Norte","RO","1101807",0.713183873427007,0.955129541924916,0.820404859889448,0.970183048279957,0.304327494812203
"2015","Norte","RO","1101807",0.902241422483351,0.96524287186452,0.931578390825394,0.971934392407632,0.290150778015491
"2015","Norte","AC","1200013",0.891666614106565,0.968280957270681,0.904568315989126,0.971523543124316,0.553545791563368
"2013","Norte","AC","1200054",0.693831180154831,0.964044439019634,0.757442937438902,0.973422177949889,0.510800762999633
"2015","Norte","AC","1200054",0.935764571667688,0.979032450973427,0.946656497754769,0.979685579389828,0.197362542858685
"2013","Norte","AC","1200104",0.782731577169642,0.984575464441174,0.866835121287908,0.982234783184098,0.375687676061341
"2015","Norte","AC","1200104",0.976576010595099,0.985996017058384,0.968762846280147,0.983352085634839,0.534960261149282
"2013","Norte","AC","1200138",0.65287974039988,0.948948951524147,0.691479102421748,0.964896139145629,0.0566314042967217
"2015","Norte","AC","1200138",0.830342695788078,0.938604580676577,0.859116450002082,0.961675012155119,0.349518285772302
"2013","Norte","AC","1200179",0.655902373845663,0.965347157779063,0.740351878975181,0.970194615958895,0.247505747378039
"2013","Norte","AC","1200203",0.737766334335601,0.973055324940566,0.797646820795886,0.974307301385935,0.495291656863028
"2015","Norte","AC","1200203",0.948297810503589,0.980711294594897,0.947053395562764,0.979248705883857,0.829347096090271
"2013","Norte","AC","1200252",0.69584347331801,0.96736215352198,0.775473676395833,0.973331716950871,0.50944282178718
"2015","Norte","AC","1200252",0.920920404265249,0.970298846794119,0.932419322932603,0.972487576471481,0.431619343496806
"2013","Norte","AC","1200302",0.74058598573527,0.974204904082441,0.813358790136995,0.974201596828933,0.159609367427994
"2015","Norte","AC","1200302",0.955420455683171,0.981182211603079,0.944681369166032,0.978407850361933,0.236948213807966
"2013","Norte","AC","1200328",0.6822533723234,0.936666412585983,0.72341743265888,0.967499237507502,0.324921682216004
"2015","Norte","AC","1200328",0.857954032624437,0.956712930097151,0.915723059316128,0.973660556735863,0.250460904728666
"2013","Norte","AC","1200336",0.676135162935846,0.937455127759827,0.714165142848362,0.957220156395446,0.222551126321842
"2015","Norte","AC","1200336",0.838217625425545,0.939710840162972,0.860079422046348,0.962022570426502,0.311400117902692
"2013","Norte","AC","1200344",0.753958403949259,0.955761606701327,0.805446834150197,0.959784610220765,0.100143376404586
"2015","Norte","AC","1200351",0.867398945204206,0.962743945843396,0.885498514976011,0.97043176022732,0.392797029033244
"2013","Norte","AC","1200385",0.700955777410695,0.959941552343735,0.77510236574542,0.968679444586928,0.372992198464689
"2015","Norte","AC","1200385",0.934220409422114,0.976969497079301,0.930252718947615,0.974717091552829,0.448558936661612
"2013","Norte","AC","1200393",0.618082421321187,0.941109173962816,0.686504545008076,0.962280695519573,0.267762953380515
"2015","Norte","AC","1200393",0.850483894084512,0.954392717569329,0.89194743632439,0.971435428335747,0.426571442283433
"2013","Norte","AC","1200401",0.757949017705745,0.972010074781102,0.836502036401581,0.972251588141851,0.667032623101646
"2015","Norte","AC","1200401",0.922518167444782,0.972573664905215,0.930991097852451,0.973227483365079,0.645836359428242
