"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_aband"
"2015","Sul","RS","4317806",0.911859275237829,0.926548381185711,0.950327143104424,0.987465980375804,0.54783522337734
"2013","Sul","RS","4317905",0.82475656060644,0.963087512432931,0.877759739889063,0.98166720445397,0.33625143720775
"2015","Sul","RS","4317905",0.972081808174622,0.975532282089205,0.975551274361157,0.981690043231925,0.381699771351008
"2013","Sul","RS","4318002",0.824242273160737,0.928670194234325,0.862717408433396,0.989142516520831,0.771317191727992
"2015","Sul","RS","4318002",0.944860548053917,0.93633857332626,0.937027874149048,0.982400621278664,0.519755998174068
"2013","Sul","RS","4318101",0.811410104974201,0.90982094167276,0.83777941495312,0.969287615169352,0.60924728478841
"2015","Sul","RS","4318101",0.920660638052656,0.917886932793811,0.917875737314707,0.971510518875105,0.491298987321414
"2013","Sul","RS","4318200",0.752297452397026,0.884614041262912,0.802628329337821,0.936494083792793,0.805772451484918
"2015","Sul","RS","4318200",0.893382900196193,0.915199419644877,0.885858260732627,0.980302732263425,0.400002886849424
"2013","Sul","RS","4318309",0.832774859723578,0.906620434702922,0.869009220102703,0.969013658715751,0.631169341693395
"2013","Sul","RS","4318408",0.812991907223221,0.939304321012569,0.820240992149228,0.949139262905318,0.856658893658892
"2015","Sul","RS","4318408",0.961780074601343,0.942768416223029,0.960722310788729,0.950047670572852,0.636960101157282
"2013","Sul","RS","4318424",0.782350291639933,0.922345018868432,0.875610889368733,0.991920789239637,0.666422455552596
"2015","Sul","RS","4318424",0.941828164705586,0.952586060781631,0.946668441897821,0.990651962370578,0.595721926758113
"2013","Sul","RS","4318440",0.863482151107124,0.951283269186429,0.854376182972251,0.98834234939672,0.478302330154443
"2015","Sul","RS","4318440",0.940669923192216,0.959293097767247,0.905890139154987,0.950613353896434,0.488011164976002
"2013","Sul","RS","4318457",0.752386441800232,0.928070750891316,0.827946139959866,0.983528196607281,0.572753545154122
"2013","Sul","RS","4318465",0.716865575635856,0.913914771934859,0.785854870614584,0.936708228439245,0.571053501033922
"2013","Sul","RS","4318481",0.845400882599421,0.964059351830332,0.902817175512581,0.974372366184376,0.609977272223185
"2013","Sul","RS","4318507",0.823506152751212,0.927519178149616,0.894982651428367,0.941709158290942,0.745344923040201
"2015","Sul","RS","4318507",0.939790421746275,0.90026045649418,0.959643381918634,0.957943019523829,0.425992160195433
